RSPB,County,Species,Mean 2020,Rank 2020,% Gardens 2020,Mean 2019,Rank 2019,% Gardens 2019,% Change,Rank Change,% change in % gardens recorded
ESRO,Aberdeen City,House_sparrow,6.2,1,73.9,6.6,1,77.6,-5.4,0,-4.7
ESRO,Aberdeen City,Starling,2.9,2,35.4,3.1,2,38.4,-5.4,0,-7.9
ESRO,Aberdeen City,Feral_pigeon,2.2,3,36.0,2.5,4,40.2,-11.8,1,-10.5
ESRO,Aberdeen City,Blackbird,2.0,4,84.2,2.7,3,90.5,-24.4,-1,-7.0
ESRO,Aberdeen City,Blue_tit,1.7,5,69.1,2.0,6,73.3,-15.6,1,-5.7
ESRO,Aberdeen City,Goldfinch,1.5,6,24.4,1.9,7,32.5,-17.0,1,-24.9
ESRO,Aberdeen City,Woodpigeon,1.5,7,58.1,2.1,5,74.3,-31.8,-2,-21.9
ESRO,Aberdeen City,Magpie,1.3,8,58.5,1.1,11,57.1,16.1,3,2.3
ESRO,Aberdeen City,Robin,1.2,9,79.9,1.3,9,85.3,-9.0,0,-6.4
ESRO,Aberdeen City,Chaffinch,0.9,10,28.1,1.6,8,41.4,-43.8,-2,-32.0
ESRO,Aberdeen City,Carrion_crow,0.8,11,29.8,0.7,14,31.9,5.2,3,-6.6
ESRO,Aberdeen City,Great_tit,0.6,12,34.5,1.2,10,49.4,-45.2,-2,-30.2
ESRO,Aberdeen City,Dunnock,0.6,13,33.5,0.8,13,41.7,-20.6,0,-19.7
ESRO,Aberdeen City,Coal_tit,0.6,14,32.8,0.9,12,43.2,-33.8,-2,-24.2
ESRO,Aberdeen City,Long_tailed_tit,0.6,15,14.2,0.6,16,13.4,-3.7,1,5.9
ESRO,Aberdeen City,Jackdaw,0.5,16,17.2,0.7,15,23.5,-32.2,-1,-26.9
ESRO,Aberdeen City,Greenfinch,0.3,17,10.6,0.5,17,18.3,-39.9,0,-41.9
ESRO,Aberdeen City,Herring_gull,0.2,18,10.0,0.3,19,10.9,-23.8,1,-8.1
ESRO,Aberdeen City,Collared_dove,0.2,19,10.2,0.3,20,11.9,-19.6,1,-13.7
ESRO,Aberdeen City,Wren,0.1,20,12.1,0.1,22,12.9,-7.5,2,-6.7
ESRO,Aberdeen City,Tree_sparrow,0.1,21,1.6,0.2,21,4.1,-43.2,0,-60.7
